영업상태명,도로명주소,사업장명,업태구분명,좌표정보(X),좌표정보(Y),카테고리_대,카태고리_소
영업/정상,"서울특별시 양천구 목동남로4길 2 (신정동, 세양청마루2차주상복합)",(주)지에스리테일 신정2점,구분없음,187954.1896,445124.1316,생활/편의,슈퍼마켓
영업/정상,"서울특별시 양천구 목동중앙북로 68 (목동, 목동에버하임)",목동에버하임,그 밖의 대규모점포,188502.8868,449377.6388,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 양천구 목동동로 196(신정동),홈플러스 익스프레스 오목교점,구분없음,188565.0747,446750.8816,생활/편의,슈퍼마켓
영업/정상,서울특별시 양천구 목동중앙본로 95 (목동),GS THE FRESH 양천목2동점,구분없음,188456.4864,449112.8909,생활/편의,슈퍼마켓
영업/정상,서울특별시 강서구 양천로 410 (가양동),노브랜드 강서가양점,구분없음,186374.4637,451431.2511,생활/편의,슈퍼마켓
영업/정상,"서울특별시 강서구 마곡서로 101, 동익드미라벨복합빌딩 (마곡동)",노브랜드 강서마곡점,구분없음,184345.724,451171.2877,생활/편의,슈퍼마켓
영업/정상,"서울특별시 강서구 화곡로 274 (화곡동, 외4필지 크라운뷰 1층 104~109)",(주)이마트에브리데이 화곡동점,구분없음,186456.1877,449645.4519,생활/편의,슈퍼마켓
영업/정상,서울특별시 강서구  화곡로  398 (등촌동),홈플러스(주) 강서점,대형마트,187119.9482,450691.5932,생활/편의,대형마트
영업/정상,서울특별시 강서구 등촌로5길 80 (화곡동),씨에스유통 (롯데슈퍼화곡2점),구분없음,187464.4032,447877.7107,생활/편의,슈퍼마켓
영업/정상,서울특별시 강서구 방화동로 126 (방화동),삼정프라자,그 밖의 대규모점포,183315.5567,452204.1655,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 강서구 화곡로18길 24 (화곡동, 강서 뉴타워)",강서 뉴타워,그 밖의 대규모점포,185384.3227,448552.1247,생활/편의,그 밖의 대규모점포
영업/정상,서울특별시 강서구 강서로 179 (화곡동),롯데쇼핑(주)롯데슈퍼화곡3동점,구분없음,185725.1614,448911.2648,생활/편의,슈퍼마켓
영업/정상,서울특별시 강서구 강서로 267 (내발산동),송화시장,그 밖의 대규모점포,185431.0666,449714.8138,생활/편의,시장
영업/정상,"서울특별시 강서구 양천로 687, 1층 (염창동)",(주)지에스리테일 염창점,구분없음,188680.483,449829.6943,생활/편의,슈퍼마켓
영업/정상,서울특별시 강서구 공항대로71길 49 (염창동),스페이스프라자,그 밖의 대규모점포,188692.0332,449699.8326,생활/편의,그 밖의 대규모점포
영업/정상,"서울특별시 강서구 공항대로 165, (마곡동 769 및 769-1)        [마곡지구 특별계획구역 CP4블록] (마곡동)",원그로브몰,쇼핑센터,184449.7363,451015.1352,생활/편의,쇼핑센터
영업/정상,"서울특별시 강서구 양천로67길 15, 한희빌딩 1층 (염창동)",GS THE FRESH 강서증미역점,구분없음,188237.9417,450314.0879,생활/편의,슈퍼마켓
영업/정상,"서울특별시 강서구 하늘길 38 (방화동, 롯데몰 김포공항)",롯데몰 김포공항,쇼핑센터,182524.8238,451438.2509,생활/편의,쇼핑센터
영업/정상,서울특별시 강서구 강서로 267 (내발산동),롯데쇼핑(주)롯데슈퍼 우장산점,구분없음,185431.0666,449714.8138,생활/편의,슈퍼마켓
영업/정상,서울특별시 강서구 강서로56길 17 (등촌동),(주) 이랜드리테일 강서점,백화점,185824.4285,450866.2521,생활/편의,백화점
