카테고리_대,카테고리_소,관서명,주소,위도,경도
안전,경찰서/파출소,염창_지구대,서울특별시 강서구 양천로67길 101,37.55551672,126.8715755
안전,경찰서/파출소,등촌2_파출소,서울특별시 강서구  등촌로 167 ,37.54480866,126.8618692
안전,경찰서/파출소,발산_지구대,서울특별시 강서구  수명로2길 46 ,37.54940632,126.8260427
안전,경찰서/파출소,화곡3_파출소,서울특별시 강서구  강서로45다길 71,37.54465666,126.8351713
안전,경찰서/파출소,마곡_지구대,서울특별시 강서구 마곡중앙5로 32,37.567244,126.8242311
안전,경찰서/파출소,천호_지구대,"서울특별시 강동구  구천면로 141, 천호지구대",37.54257321,127.1207773
안전,경찰서/파출소,길동_지구대,서울특별시 강동구 양재대로96길 35,37.52944682,127.1391888
안전,경찰서/파출소,성내_지구대,서울특별시 강동구 성내로 55 (성내동),37.52863799,127.1263629
안전,경찰서/파출소,암사_지구대,서울특별시 강동구  고덕로 137 암사지구대,37.55499636,127.1407841
안전,경찰서/파출소,둔촌_파출소,서울특별시 강동구 양재대로 1340 (둔촌동),37.52577786,127.1359315
안전,경찰서/파출소,명일_파출소,서울특별시 강동구 동남로 895 명일파출소,37.55364418,127.1560882
안전,경찰서/파출소,강일_파출소,서울특별시 강동구  아리수로91길 20,37.56486653,127.1732148
안전,경찰서/파출소,고덕_파출소,서울특별시 강동구  고덕로 61길61,37.55732424,127.1517129
안전,경찰서/파출소,상일_파출소,서울특별시 강동구 고덕로 80길 7,37.55624442,127.1657674
안전,경찰서/파출소,석관_파출소,서울특별시 성북구  화랑로32가길 20 석관파출소,37.60895983,127.055269
안전,경찰서/파출소,장위_지구대,서울특별시 성북구 장월로174 장위지구대,37.61945666,127.0538037
안전,경찰서/파출소,월곡_지구대,서울특별시 성북구  종암로32길 5 월곡지구대,37.60442886,127.0324014
안전,경찰서/파출소,종암_파출소,서울특별시 성북구  종암로23길 52,37.60010009,127.031259
안전,경찰서/파출소,신구로_지구대,서울특별시 구로구 새말로 26 신구로지구대,37.50227093,126.8838961
안전,경찰서/파출소,오류_지구대,서울특별시 구로구  고척로1길 34 오류지구대,37.4948163,126.8388422
안전,경찰서/파출소,구일_지구대,서울특별시 구로구  도림로 63 구일지구대,37.48925211,126.8907002
안전,경찰서/파출소,고척_지구대,서울특별시 구로구 중앙로 15길 30 고척지구대,37.50660107,126.8583023
안전,경찰서/파출소,개봉_지구대,서울특별시 구로구  개봉로18길 5 개봉지구대,37.49183226,126.856449
안전,경찰서/파출소,구로3_파출소,서울특별시 구로구  디지털로31길 86 구로3파출소,37.48666065,126.8913999
안전,경찰서/파출소,가리봉_파출소,서울특별시 구로구 남부순환로 1275 가리봉파출소,37.47920893,126.8926603
